Sample_ID,host,site,habitat,position,number,latitude,longitude,elevation,pH,sample_type,SID
Soil_Fungi_B40,NA,Arayu-Jigoku,Forest edge,40,NA,38.818815,140.72892,592,2.23,Soil,B40
Soil_Fungi_JA1,NA,Ofukasawa,Solfatara field,1,NA,38.811815,140.713531,528,3.16,Soil,JA1
Soil_Fungi_JA7,NA,Ofukasawa,Solfatara field,7,NA,38.811427,140.713116,529,2.96,Soil,JA7
Soil_Fungi_JA9,NA,Ofukasawa,Solfatara field,9,NA,38.81108,140.712355,527,2.79,Soil,JA9
Soil_Fungi_JA11,NA,Ofukasawa,Solfatara field,11,NA,38.811121,140.712915,526,3.11,Soil,JA11
Soil_Fungi_JA15,NA,Ofukasawa,Solfatara field,15,NA,38.811245,140.713017,527,3.46,Soil,JA15
Soil_Fungi_JB1,NA,Ofukasawa,Forest edge,1,NA,38.811858,140.713577,529,2.57,Soil,JB1
Soil_Fungi_JB2,NA,Ofukasawa,Forest edge,2,NA,38.811584,140.713271,529,2.87,Soil,JB2
Soil_Fungi_JB6,NA,Ofukasawa,Forest edge,6,NA,38.81137,140.713013,529,2.65,Soil,JB6
Soil_Fungi_JB11,NA,Ofukasawa,Forest edge,11,NA,38.811329,140.712776,532,2.65,Soil,JB11
Soil_Fungi_JB15,NA,Ofukasawa,Forest edge,15,NA,38.811345,140.712607,537,2.84,Soil,JB15
