Sample_ID,site,habitat,position,number,latitude,longitude,elevation,pH
Plant_A34_2,Arayu-Jigoku,Solfatara field,34,2,38.818856,140.728865,592,3.2
Plant_A34_3,Arayu-Jigoku,Solfatara field,34,3,38.818856,140.728865,592,3.2
Plant_A35_1,Arayu-Jigoku,Solfatara field,35,1,38.818136,140.726652,605,3.3
Plant_A36_1,Arayu-Jigoku,Solfatara field,36,1,38.818113,140.726681,605,3.39
Plant_A36_2,Arayu-Jigoku,Solfatara field,36,2,38.818113,140.726681,605,3.39
Plant_A36_3,Arayu-Jigoku,Solfatara field,36,3,38.818113,140.726681,605,3.39
Plant_A37_1,Arayu-Jigoku,Solfatara field,37,1,38.818034,140.726519,608,3.29
Plant_A37_2,Arayu-Jigoku,Solfatara field,37,2,38.818034,140.726519,608,3.29
Plant_B01_1,Arayu-Jigoku,Forest edge,1,1,38.8187435,140.726338,606,3.66
Plant_B01_2,Arayu-Jigoku,Forest edge,1,2,38.8187435,140.726338,606,3.66
Plant_B01_3,Arayu-Jigoku,Forest edge,1,3,38.8187435,140.726338,606,3.66
Plant_B02_1,Arayu-Jigoku,Forest edge,2,1,38.817448,140.726413,606,3.71
Plant_B02_2,Arayu-Jigoku,Forest edge,2,2,38.817448,140.726413,606,3.71
Plant_B02_3,Arayu-Jigoku,Forest edge,2,3,38.817448,140.726413,606,3.71
Plant_B03_1,Arayu-Jigoku,Forest edge,3,1,38.817491,140.726389,606,3.61
Plant_B03_2,Arayu-Jigoku,Forest edge,3,2,38.817491,140.726389,606,3.61
Plant_B04_1,Arayu-Jigoku,Forest edge,4,1,38.817528,140.72639,607,3.66
Plant_B04_2,Arayu-Jigoku,Forest edge,4,2,38.817528,140.72639,607,3.66
Plant_B04_4,Arayu-Jigoku,Forest edge,4,4,38.817528,140.72639,607,3.66
Plant_B04_5,Arayu-Jigoku,Forest edge,4,5,38.817528,140.72639,607,3.66
Plant_B05_1,Arayu-Jigoku,Forest edge,5,1,38.817564,140.726365,607,3.48
Plant_B05_2,Arayu-Jigoku,Forest edge,5,2,38.817564,140.726365,607,3.48
Plant_B05_3,Arayu-Jigoku,Forest edge,5,3,38.817564,140.726365,607,3.48
